filename	condition	comprehension
anat/sub-190_run-1_T1w.nii.gz	n/a	n/a
anat/sub-190_run-2_T1w.nii.gz	n/a	n/a
anat/sub-190_run-3_T1w.nii.gz	n/a	n/a
func/sub-190_task-21styear_bold.nii.gz	n/a	1.0
func/sub-190_task-schema_run-1_bold.nii.gz	n/a	n/a
func/sub-190_task-schema_run-2_bold.nii.gz	n/a	n/a
func/sub-190_task-schema_run-3_bold.nii.gz	n/a	n/a
func/sub-190_task-schema_run-4_bold.nii.gz	n/a	n/a
func/sub-190_task-shapesphysical_bold.nii.gz	social-movie-physical	10.0
func/sub-190_task-shapessocial_bold.nii.gz	social-movie-physical	10.0
