filename	condition	comprehension
anat/sub-201_run-1_T1w.nii.gz	n/a	n/a
anat/sub-201_run-2_T1w.nii.gz	n/a	n/a
anat/sub-201_run-3_T1w.nii.gz	n/a	n/a
func/sub-201_task-21styear_bold.nii.gz	n/a	0.963
func/sub-201_task-schema_run-1_bold.nii.gz	n/a	n/a
func/sub-201_task-schema_run-2_bold.nii.gz	n/a	n/a
func/sub-201_task-schema_run-3_bold.nii.gz	n/a	n/a
func/sub-201_task-schema_run-4_bold.nii.gz	n/a	n/a
func/sub-201_task-shapesphysical_bold.nii.gz	physical-movie-social	n/a
func/sub-201_task-shapessocial_bold.nii.gz	physical-movie-social	n/a
